Frequent 0-itemsets:
itemset (occurrence)
{} (990002)
Frequent 1-itemsets:
itemset (occurrence)
970 (5009)
687 (5107)
452 (5130)
677 (5182)
1770 (5186)
448 (5197)
775 (5247)
499 (5252)
151 (5276)
339 (5290)
582 (5339)
1019 (5355)
455 (5357)
598 (5362)
232 (5366)
220 (5412)
659 (5415)
338 (5419)
324 (5422)
631 (5428)
573 (5497)
1810 (5515)
306 (5525)
354 (5565)
773 (5583)
397 (5625)
1065 (5662)
1141 (5688)
555 (5720)
2072 (5781)
866 (5790)
434 (5836)
12 (5868)
590 (5874)
678 (5909)
18 (5917)
1751 (5923)
5 (5930)
1956 (5932)
829 (5935)
152 (5947)
568 (5975)
158 (5977)
648 (6123)
358 (6131)
235 (6133)
470 (6172)
845 (6176)
686 (6182)
1144 (6185)
537 (6248)
237 (6257)
473 (6291)
435 (6397)
632 (6444)
1838 (6465)
233 (6468)
45 (6581)
71 (6643)
522 (6773)
1025 (6839)
492 (6843)
2952 (6933)
531 (7052)
265 (7054)
1132 (7113)
491 (7154)
506 (7178)
89 (7204)
357 (7212)
633 (7277)
260 (7282)
142 (7322)
514 (7402)
494 (7507)
777 (7556)
584 (7598)
934 (7621)
145 (7672)
281 (7673)
540 (7710)
521 (7826)
290 (7876)
762 (8071)
230 (8123)
259 (8150)
255 (8364)
662 (8448)
1644 (8606)
246 (8642)
644 (8673)
21 (8763)
86 (8800)
85 (8801)
46 (8827)
670 (8938)
916 (8989)
640 (9163)
993 (9231)
747 (9368)
321 (9559)
379 (9783)
229 (10034)
254 (10077)
28 (10111)
361 (10122)
667 (10616)
423 (10967)
32 (11069)
155 (11494)
378 (11508)
14 (11607)
364 (12167)
91 (12248)
25 (12668)
49 (12702)
512 (12921)
897 (14297)
504 (14546)
314 (14842)
56 (15752)
273 (17177)
737 (17645)
987 (17804)
135 (18313)
269 (18343)
87 (18484)
73 (18749)
438 (18910)
278 (20114)
303 (21246)
205 (21373)
215 (21592)
90 (22062)
69 (22631)
490 (23225)
446 (23270)
136 (23679)
40 (24082)
316 (27852)
83 (32212)
294 (32247)
138 (35127)
2 (42927)
77 (43454)
64 (48262)
55 (65412)
148 (69922)
27 (72134)
4 (78097)
7 (86898)
218 (88598)
1 (197522)
11 (364065)
3 (450031)
6 (601374)
Frequent 2-itemsets:
itemset (occurrence)
448 6 (5004)
775 6 (5067)
151 6 (5036)
339 6 (5024)
582 6 (5196)
1019 6 (5187)
455 6 (5123)
598 6 (5132)
232 6 (5167)
220 6 (5214)
659 40 (4985)
659 6 (5082)
338 6 (5110)
324 6 (5183)
573 6 (5057)
1810 6 (5313)
306 6 (5330)
354 6 (5347)
773 6 (5374)
397 6 (5254)
1141 6 (5397)
555 6 (5420)
2072 11 (5064)
2072 6 (5561)
866 6 (5533)
434 6 (5564)
12 11 (5160)
12 6 (5653)
678 6 (5470)
1956 205 (5176)
1956 6 (5458)
829 11 (5046)
829 6 (5696)
568 11 (5357)
568 6 (5790)
158 11 (5244)
158 6 (5818)
358 11 (5190)
358 6 (5897)
235 11 (5378)
235 6 (5955)
470 11 (5486)
470 6 (6007)
845 11 (5336)
845 6 (5928)
686 11 (5254)
686 6 (5873)
1144 6 (5638)
537 11 (5551)
537 6 (6064)
237 11 (5407)
237 6 (6016)
473 11 (5452)
473 6 (6028)
435 11 (5452)
435 6 (6092)
632 6 (5634)
1838 11 (5503)
1838 6 (6213)
233 11 (5700)
233 6 (6246)
45 11 (5847)
45 6 (6318)
71 77 (5386)
71 11 (5569)
71 6 (6393)
522 11 (5897)
522 6 (6543)
1025 11 (5845)
1025 6 (6579)
492 11 (5507)
492 6 (6329)
2952 11 (6099)
2952 6 (6715)
531 11 (6055)
531 6 (6729)
265 7 (5699)
265 11 (5249)
265 6 (6359)
1132 11 (6246)
1132 6 (6909)
491 11 (6210)
491 6 (6929)
506 11 (6529)
506 6 (7022)
89 11 (6185)
89 6 (6968)
357 11 (6259)
357 6 (6971)
633 11 (5580)
633 6 (6781)
260 11 (6330)
260 6 (7069)
142 11 (6126)
142 6 (6957)
514 11 (6317)
514 6 (6976)
494 11 (6110)
494 6 (6973)
777 11 (6579)
777 6 (7278)
584 11 (5378)
584 6 (6784)
934 27 (5328)
934 7 (6336)
934 11 (5728)
934 6 (6870)
281 11 (6529)
281 6 (7411)
540 11 (6629)
540 6 (7401)
521 11 (6811)
521 6 (7556)
290 11 (6006)
290 6 (7267)
762 11 (6927)
762 6 (7746)
230 218 (5106)
230 11 (6997)
230 6 (7840)
259 11 (7075)
259 6 (7870)
255 148 (7748)
255 218 (8073)
255 11 (7238)
255 6 (8140)
662 136 (7442)
662 11 (6458)
662 6 (7750)
1644 11 (7123)
1644 6 (8168)
246 6 (5590)
644 11 (6402)
644 6 (7781)
21 11 (7440)
21 6 (8379)
86 85 (7506)
86 83 (6501)
86 27 (5569)
86 7 (7696)
86 11 (6463)
86 6 (8185)
85 83 (6853)
85 27 (6035)
85 7 (8472)
85 11 (6730)
85 6 (8509)
46 11 (7436)
46 6 (8389)
670 64 (5353)
670 11 (6780)
670 6 (8142)
916 11 (7521)
916 6 (8530)
640 11 (6515)
640 6 (8053)
993 6 (6457)
747 148 (5442)
747 218 (5769)
747 1 (5115)
747 11 (7992)
747 6 (8992)
321 27 (7143)
321 7 (8069)
321 11 (7212)
321 6 (8665)
379 1 (5187)
379 11 (8446)
379 6 (9413)
229 148 (5974)
229 218 (6419)
229 1 (5407)
229 11 (8492)
229 6 (9677)
254 148 (6811)
254 218 (7123)
254 1 (5547)
254 11 (8767)
254 6 (9744)
28 32 (9569)
28 27 (7513)
28 7 (9190)
28 11 (7756)
28 6 (9314)
361 148 (5007)
361 218 (5259)
361 11 (8687)
361 6 (9651)
667 11 (8421)
667 6 (9879)
423 1 (5176)
423 11 (9661)
423 6 (10651)
32 27 (8068)
32 7 (9894)
32 11 (8363)
32 3 (4971)
32 6 (10100)
155 148 (6443)
155 218 (6856)
155 1 (6291)
155 11 (9893)
155 3 (4987)
155 6 (11066)
378 11 (8520)
378 3 (5070)
378 6 (10722)
14 64 (4987)
14 11 (8321)
14 3 (5125)
14 6 (10349)
364 148 (6305)
364 218 (6715)
364 1 (6393)
364 11 (10372)
364 3 (5267)
364 6 (11755)
91 6 (6959)
25 148 (7869)
25 218 (8390)
25 1 (6836)
25 11 (10756)
25 3 (5468)
25 6 (12218)
49 27 (9695)
49 7 (5827)
49 1 (4979)
49 11 (10899)
49 3 (5552)
49 6 (12209)
512 148 (6666)
512 218 (7050)
512 1 (6649)
512 11 (11095)
512 3 (5571)
512 6 (12413)
897 87 (5793)
897 27 (10270)
897 7 (12748)
897 11 (10740)
897 3 (6333)
897 6 (13068)
504 148 (6066)
504 218 (6687)
504 1 (5941)
504 11 (10109)
504 3 (6401)
504 6 (12555)
314 218 (5354)
314 1 (5948)
314 11 (10991)
314 3 (6392)
314 6 (13281)
56 148 (6185)
56 218 (6627)
56 1 (7766)
56 11 (13483)
56 3 (6833)
56 6 (15151)
273 303 (5192)
273 148 (6727)
273 218 (7506)
273 1 (7590)
273 11 (12555)
273 3 (7465)
273 6 (15270)
737 1 (6091)
737 11 (12606)
737 3 (7716)
737 6 (15501)
987 148 (13316)
987 218 (10623)
987 1 (7568)
987 11 (13191)
987 3 (7744)
987 6 (16430)
135 148 (6880)
135 218 (7439)
135 1 (8660)
135 11 (15819)
135 3 (7969)
135 6 (17689)
269 148 (5650)
269 218 (6201)
269 1 (6971)
269 11 (11847)
269 3 (8104)
269 6 (15038)
87 83 (5809)
87 27 (13491)
87 7 (16499)
87 1 (5599)
87 11 (13836)
87 3 (8192)
87 6 (16874)
73 11 (7255)
73 3 (8689)
73 6 (11502)
438 148 (6145)
438 218 (6508)
438 1 (8306)
438 11 (16620)
438 3 (8228)
438 6 (18380)
278 27 (10850)
278 7 (10785)
278 1 (5733)
278 11 (12631)
278 3 (8907)
278 6 (16050)
303 148 (8498)
303 218 (9085)
303 1 (8860)
303 11 (15788)
303 3 (9193)
303 6 (18936)
205 215 (5832)
205 27 (14511)
205 7 (14246)
205 218 (5191)
205 1 (6692)
205 11 (15855)
205 3 (9415)
205 6 (19482)
215 148 (5081)
215 27 (6063)
215 7 (5791)
215 218 (5566)
215 1 (6926)
215 11 (15548)
215 3 (9613)
215 6 (18842)
90 148 (9616)
90 7 (5320)
90 218 (10198)
90 1 (11087)
90 11 (19057)
90 3 (9382)
90 6 (21288)
69 148 (6147)
69 7 (5482)
69 218 (6883)
69 1 (8021)
69 11 (17035)
69 3 (9968)
69 6 (20439)
490 11 (8160)
490 3 (10496)
490 6 (13512)
446 148 (5771)
446 218 (6502)
446 1 (8119)
446 11 (14981)
446 3 (10305)
446 6 (19240)
136 148 (6215)
136 7 (5224)
136 218 (6987)
136 1 (9398)
136 11 (17215)
136 3 (10493)
136 6 (21189)
40 77 (5579)
40 148 (7548)
40 218 (8282)
40 1 (9268)
40 11 (18029)
40 3 (10512)
40 6 (22264)
316 148 (6437)
316 218 (7082)
316 1 (8927)
316 11 (17837)
316 3 (12342)
316 6 (22466)
83 77 (4956)
83 148 (7302)
83 27 (12872)
83 7 (16171)
83 218 (8216)
83 1 (10659)
83 11 (24077)
83 3 (14138)
83 6 (29983)
294 1 (5996)
294 11 (11412)
294 3 (15246)
294 6 (18949)
138 77 (5147)
138 148 (7984)
138 27 (5556)
138 7 (7375)
138 218 (9149)
138 1 (12450)
138 11 (21566)
138 3 (15546)
138 6 (28750)
2 148 (6212)
2 27 (5771)
2 7 (7840)
2 218 (7131)
2 1 (10708)
2 11 (20826)
2 3 (19438)
2 6 (29619)
77 64 (6386)
77 148 (10354)
77 27 (6816)
77 7 (8532)
77 218 (11457)
77 1 (14142)
77 11 (30409)
77 3 (19283)
77 6 (37654)
64 148 (10683)
64 27 (6918)
64 7 (8498)
64 218 (11921)
64 1 (15390)
64 11 (30677)
64 3 (21175)
64 6 (39697)
55 148 (5263)
55 7 (6035)
55 218 (6659)
55 1 (12963)
55 11 (24334)
55 3 (29663)
55 6 (38875)
148 27 (11964)
148 4 (5196)
148 7 (14851)
148 218 (58823)
148 1 (28049)
148 11 (55759)
148 3 (30330)
148 6 (64750)
27 4 (5398)
27 7 (40235)
27 218 (13436)
27 1 (19793)
27 11 (46103)
27 3 (32027)
27 6 (59418)
4 7 (6693)
4 218 (6648)
4 1 (14645)
4 11 (27433)
4 3 (35438)
4 6 (45377)
7 218 (16864)
7 1 (23817)
7 11 (57074)
7 3 (38659)
7 6 (73610)
218 1 (32127)
218 11 (61656)
218 3 (38673)
218 6 (77675)
1 11 (91882)
1 3 (84660)
1 6 (132113)
11 3 (161286)
11 6 (324013)
3 6 (265180)
Frequent 3-itemsets:
itemset (occurrence)
2072 11 6 (5047)
12 11 6 (5142)
829 11 6 (5019)
568 11 6 (5336)
158 11 6 (5228)
358 11 6 (5173)
235 11 6 (5364)
470 11 6 (5470)
845 11 6 (5312)
686 11 6 (5222)
537 11 6 (5535)
237 11 6 (5382)
473 11 6 (5431)
435 11 6 (5428)
1838 11 6 (5472)
233 11 6 (5676)
45 11 6 (5814)
71 77 6 (5294)
71 11 6 (5547)
522 11 6 (5880)
1025 11 6 (5819)
492 11 6 (5452)
2952 11 6 (6078)
531 11 6 (6005)
265 7 6 (5337)
265 11 6 (5178)
1132 11 6 (6222)
491 11 6 (6192)
506 11 6 (6510)
89 11 6 (6162)
357 11 6 (6232)
633 11 6 (5541)
260 11 6 (6313)
142 11 6 (6082)
514 11 6 (6276)
494 11 6 (6060)
777 11 6 (6549)
584 11 6 (5312)
934 27 6 (5012)
934 7 11 (5054)
934 7 6 (5946)
934 11 6 (5668)
281 11 6 (6504)
540 11 6 (6608)
521 11 6 (6779)
290 11 6 (5949)
762 11 6 (6887)
230 218 6 (5052)
230 11 6 (6966)
259 11 6 (7050)
255 148 218 (7739)
255 148 11 (7011)
255 148 6 (7640)
255 218 11 (7111)
255 218 6 (7949)
255 11 6 (7219)
662 136 11 (5964)
662 136 6 (7043)
662 11 6 (6374)
1644 11 6 (7082)
644 11 6 (6312)
21 11 6 (7404)
86 85 83 (6358)
86 85 27 (5370)
86 85 7 (7470)
86 85 11 (5969)
86 85 6 (7367)
86 83 7 (6436)
86 83 11 (5182)
86 83 6 (6465)
86 27 7 (5493)
86 27 6 (5462)
86 7 11 (6099)
86 7 6 (7534)
86 11 6 (6407)
85 83 27 (4981)
85 83 7 (6819)
85 83 11 (5457)
85 83 6 (6829)
85 27 7 (5987)
85 27 6 (5925)
85 7 11 (6604)
85 7 6 (8286)
85 11 6 (6705)
46 11 6 (7387)
670 64 6 (5080)
670 11 6 (6703)
916 11 6 (7482)
640 11 6 (6413)
747 148 218 (5323)
747 148 11 (5100)
747 148 6 (5401)
747 218 11 (5218)
747 218 6 (5717)
747 1 6 (5029)
747 11 6 (7948)
321 27 7 (6530)
321 27 11 (5666)
321 27 6 (6679)
321 7 11 (6402)
321 7 6 (7560)
321 11 6 (7140)
379 1 6 (5111)
379 11 6 (8415)
229 148 218 (5840)
229 148 11 (5573)
229 148 6 (5936)
229 218 11 (5743)
229 218 6 (6367)
229 1 6 (5330)
229 11 6 (8450)
254 148 218 (6700)
254 148 11 (6281)
254 148 6 (6725)
254 218 11 (6399)
254 218 6 (7027)
254 1 11 (5020)
254 1 6 (5453)
254 11 6 (8729)
28 32 27 (7435)
28 32 7 (9102)
28 32 11 (7529)
28 32 6 (8955)
28 27 7 (7176)
28 27 11 (5981)
28 27 6 (7061)
28 7 11 (7266)
28 7 6 (8622)
28 11 6 (7680)
361 148 6 (4954)
361 218 6 (5199)
361 11 6 (8645)
667 11 6 (8354)
423 1 6 (5127)
423 11 6 (9633)
32 27 7 (7692)
32 27 11 (6408)
32 27 6 (7563)
32 7 11 (7810)
32 7 6 (9264)
32 11 6 (8273)
155 148 218 (6283)
155 148 11 (6043)
155 148 6 (6386)
155 218 11 (6231)
155 218 6 (6788)
155 1 11 (5658)
155 1 6 (6190)
155 11 6 (9850)
378 11 6 (8438)
14 11 6 (8201)
364 148 218 (6098)
364 148 11 (5933)
364 148 6 (6274)
364 218 11 (6077)
364 218 6 (6675)
364 1 11 (5724)
364 1 6 (6305)
364 11 6 (10330)
364 3 6 (5089)
25 148 218 (7730)
25 148 11 (7291)
25 148 6 (7795)
25 218 1 (5000)
25 218 11 (7499)
25 218 6 (8303)
25 1 11 (6078)
25 1 6 (6704)
25 11 6 (10712)
25 3 6 (5277)
49 27 7 (5116)
49 27 11 (8547)
49 27 6 (9466)
49 7 11 (5054)
49 7 6 (5638)
49 11 6 (10857)
49 3 6 (5321)
512 148 218 (6448)
512 148 11 (6244)
512 148 6 (6601)
512 218 11 (6427)
512 218 6 (6980)
512 1 11 (6012)
512 1 6 (6538)
512 11 6 (11049)
512 3 6 (5358)
897 87 7 (5580)
897 87 6 (5452)
897 27 7 (9740)
897 27 11 (8055)
897 27 6 (9644)
897 7 11 (9934)
897 7 3 (5624)
897 7 6 (11942)
897 11 6 (10626)
897 3 6 (5776)
504 148 218 (5682)
504 148 11 (5442)
504 148 6 (5952)
504 218 11 (5646)
504 218 6 (6529)
504 1 6 (5625)
504 11 6 (9918)
504 3 6 (5520)
314 218 6 (5224)
314 1 11 (4958)
314 1 6 (5653)
314 11 6 (10844)
314 3 6 (5738)
56 148 218 (5839)
56 148 11 (5898)
56 148 6 (6167)
56 218 11 (6093)
56 218 6 (6596)
56 1 11 (7001)
56 1 6 (7628)
56 11 3 (5842)
56 11 6 (13418)
56 3 6 (6584)
273 303 6 (5136)
273 148 218 (6317)
273 148 11 (6106)
273 148 6 (6628)
273 218 11 (6403)
273 218 6 (7357)
273 1 11 (6356)
273 1 6 (7268)
273 11 3 (5452)
273 11 6 (12363)
273 3 6 (6665)
737 1 11 (4962)
737 1 6 (5713)
737 11 3 (5446)
737 11 6 (12413)
737 3 6 (6781)
987 148 218 (9388)
987 148 1 (6485)
987 148 11 (11404)
987 148 3 (5761)
987 148 6 (12993)
987 218 1 (5484)
987 218 11 (8690)
987 218 6 (10349)
987 1 11 (6313)
987 1 6 (7298)
987 11 3 (5763)
987 11 6 (13061)
987 3 6 (7177)
135 148 218 (6508)
135 148 11 (6549)
135 148 6 (6850)
135 218 11 (6814)
135 218 6 (7403)
135 1 11 (7862)
135 1 6 (8548)
135 11 3 (6827)
135 11 6 (15747)
135 3 6 (7676)
269 148 218 (5187)
269 148 11 (5063)
269 148 6 (5536)
269 218 11 (5241)
269 218 6 (6044)
269 1 11 (5576)
269 1 6 (6460)
269 11 3 (5161)
269 11 6 (11558)
269 3 6 (6623)
87 83 7 (5407)
87 83 6 (5766)
87 27 7 (12775)
87 27 11 (10610)
87 27 3 (6008)
87 27 6 (12653)
87 7 1 (5102)
87 7 11 (12800)
87 7 3 (7293)
87 7 6 (15435)
87 1 6 (5302)
87 11 3 (6161)
87 11 6 (13696)
87 3 6 (7465)
73 11 6 (6585)
73 3 6 (5394)
438 148 218 (5691)
438 148 11 (5923)
438 148 6 (6140)
438 218 11 (6112)
438 218 6 (6495)
