Frequent 0-itemsets:
itemset (occurrence)
{} (990002)
Frequent 1-itemsets:
itemset (occurrence)
229 (10034)
254 (10077)
28 (10111)
361 (10122)
667 (10616)
423 (10967)
32 (11069)
155 (11494)
378 (11508)
14 (11607)
364 (12167)
91 (12248)
25 (12668)
49 (12702)
512 (12921)
897 (14297)
504 (14546)
314 (14842)
56 (15752)
273 (17177)
737 (17645)
987 (17804)
135 (18313)
269 (18343)
87 (18484)
73 (18749)
438 (18910)
278 (20114)
303 (21246)
205 (21373)
215 (21592)
90 (22062)
69 (22631)
490 (23225)
446 (23270)
136 (23679)
40 (24082)
316 (27852)
83 (32212)
294 (32247)
138 (35127)
2 (42927)
77 (43454)
64 (48262)
55 (65412)
148 (69922)
27 (72134)
4 (78097)
7 (86898)
218 (88598)
1 (197522)
11 (364065)
3 (450031)
6 (601374)
Frequent 2-itemsets:
itemset (occurrence)
423 6 (10651)
32 6 (10100)
155 6 (11066)
378 6 (10722)
14 6 (10349)
364 11 (10372)
364 6 (11755)
25 11 (10756)
25 6 (12218)
49 11 (10899)
49 6 (12209)
512 11 (11095)
512 6 (12413)
897 27 (10270)
897 7 (12748)
897 11 (10740)
897 6 (13068)
504 11 (10109)
504 6 (12555)
314 11 (10991)
314 6 (13281)
56 11 (13483)
56 6 (15151)
273 11 (12555)
273 6 (15270)
737 11 (12606)
737 6 (15501)
987 148 (13316)
987 218 (10623)
987 11 (13191)
987 6 (16430)
135 11 (15819)
135 6 (17689)
269 11 (11847)
269 6 (15038)
87 27 (13491)
87 7 (16499)
87 11 (13836)
87 6 (16874)
73 6 (11502)
438 11 (16620)
438 6 (18380)
278 27 (10850)
278 7 (10785)
278 11 (12631)
278 6 (16050)
303 11 (15788)
303 6 (18936)
205 27 (14511)
205 7 (14246)
205 11 (15855)
205 6 (19482)
215 11 (15548)
215 6 (18842)
90 218 (10198)
90 1 (11087)
90 11 (19057)
90 6 (21288)
69 11 (17035)
69 3 (9968)
69 6 (20439)
490 3 (10496)
490 6 (13512)
446 11 (14981)
446 3 (10305)
446 6 (19240)
136 11 (17215)
136 3 (10493)
136 6 (21189)
40 11 (18029)
40 3 (10512)
40 6 (22264)
316 11 (17837)
316 3 (12342)
316 6 (22466)
83 27 (12872)
83 7 (16171)
83 1 (10659)
83 11 (24077)
83 3 (14138)
83 6 (29983)
294 11 (11412)
294 3 (15246)
294 6 (18949)
138 1 (12450)
138 11 (21566)
138 3 (15546)
138 6 (28750)
2 1 (10708)
2 11 (20826)
2 3 (19438)
2 6 (29619)
77 148 (10354)
77 218 (11457)
77 1 (14142)
77 11 (30409)
77 3 (19283)
77 6 (37654)
64 148 (10683)
64 218 (11921)
64 1 (15390)
64 11 (30677)
64 3 (21175)
64 6 (39697)
55 1 (12963)
55 11 (24334)
55 3 (29663)
55 6 (38875)
148 27 (11964)
148 7 (14851)
148 218 (58823)
148 1 (28049)
148 11 (55759)
148 3 (30330)
148 6 (64750)
27 7 (40235)
27 218 (13436)
27 1 (19793)
27 11 (46103)
27 3 (32027)
27 6 (59418)
4 1 (14645)
4 11 (27433)
4 3 (35438)
4 6 (45377)
7 218 (16864)
7 1 (23817)
7 11 (57074)
7 3 (38659)
7 6 (73610)
218 1 (32127)
