Frequent 0-itemsets:
itemset (occurrence)
{} (100000)
Frequent 1-itemsets:
itemset (occurrence)
771 (505)
144 (505)
657 (506)
934 (510)
868 (510)
973 (512)
412 (517)
194 (517)
478 (522)
299 (522)
213 (522)
933 (523)
953 (525)
909 (525)
216 (525)
128 (525)
11 (525)
26 (527)
36 (528)
190 (531)
3 (531)
315 (533)
53 (535)
945 (536)
940 (536)
852 (538)
320 (540)
828 (542)
159 (542)
46 (543)
703 (546)
647 (551)
731 (560)
824 (565)
364 (567)
616 (568)
156 (572)
528 (576)
851 (577)
753 (578)
316 (578)
174 (579)
430 (580)
645 (581)
300 (582)
176 (582)
493 (583)
845 (585)
911 (586)
557 (587)
436 (589)
369 (592)
0 (594)
730 (602)
408 (607)
525 (609)
660 (610)
512 (611)
249 (615)
837 (619)
794 (624)
167 (625)
833 (629)
407 (634)
905 (640)
565 (640)
188 (650)
409 (651)
925 (652)
648 (653)
263 (654)
178 (654)
421 (656)
278 (657)
226 (658)
272 (659)
262 (660)
327 (662)
719 (663)
475 (663)
328 (663)
172 (663)
492 (665)
383 (668)
139 (671)
926 (672)
709 (672)
2 (673)
82 (674)
321 (676)
339 (695)
155 (697)
760 (698)
307 (702)
136 (707)
903 (711)
295 (712)
711 (714)
713 (716)
220 (717)
117 (731)
835 (732)
467 (742)
672 (743)
499 (743)
164 (744)
842 (752)
518 (759)
187 (759)
938 (766)
533 (772)
544 (773)
690 (778)
298 (778)
212 (778)
633 (780)
252 (781)
215 (781)
241 (784)
406 (785)
256 (785)
759 (788)
505 (791)
762 (792)
595 (797)
732 (799)
345 (801)
456 (804)
304 (805)
318 (812)
18 (813)
590 (814)
474 (815)
114 (816)
689 (817)
943 (821)
622 (826)
80 (826)
723 (829)
642 (830)
801 (835)
659 (835)
830 (841)
95 (841)
712 (845)
314 (846)
464 (848)
969 (849)
831 (852)
839 (854)
585 (856)
203 (861)
447 (863)
879 (865)
858 (866)
626 (874)
415 (877)
158 (884)
347 (885)
268 (885)
705 (888)
481 (888)
66 (888)
629 (893)
980 (899)
352 (902)
44 (903)
745 (909)
624 (915)
118 (916)
224 (919)
193 (925)
640 (932)
388 (938)
855 (939)
108 (940)
785 (947)
507 (950)
838 (953)
742 (953)
568 (956)
558 (957)
355 (958)
329 (964)
484 (971)
417 (971)
96 (975)
277 (982)
432 (985)
160 (987)
922 (990)
395 (990)
7 (997)
608 (999)
912 (1009)
511 (1015)
428 (1021)
325 (1022)
266 (1022)
201 (1029)
823 (1031)
366 (1031)
928 (1034)
258 (1036)
429 (1037)
710 (1044)
546 (1050)
563 (1065)
490 (1066)
632 (1070)
336 (1071)
126 (1075)
173 (1080)
122 (1081)
468 (1089)
708 (1090)
790 (1094)
5 (1094)
171 (1097)
105 (1100)
628 (1102)
567 (1102)
361 (1104)
554 (1114)
992 (1116)
458 (1124)
941 (1126)
688 (1132)
157 (1140)
978 (1141)
733 (1141)
357 (1142)
394 (1145)
948 (1149)
378 (1149)
377 (1149)
322 (1154)
104 (1158)
414 (1160)
988 (1164)
900 (1165)
515 (1166)
111 (1171)
527 (1185)
600 (1192)
716 (1199)
517 (1201)
94 (1201)
550 (1203)
170 (1203)
207 (1214)
843 (1222)
348 (1226)
573 (1229)
197 (1230)
181 (1235)
718 (1238)
591 (1241)
859 (1242)
37 (1249)
899 (1252)
860 (1255)
422 (1255)
163 (1256)
819 (1257)
784 (1257)
309 (1262)
530 (1263)
810 (1267)
991 (1268)
701 (1283)
513 (1287)
125 (1287)
651 (1288)
989 (1289)
